"","variable","ReportWeek","ave.week.sum"
"532","amount",2007-11-16,7.3
"533","amount",2007-11-23,0
"534","amount",2007-11-30,0
"535","amount",2007-12-07,29.7
"536","amount",2007-12-14,11.75
"537","amount",2007-12-21,61.9
"538","amount",2007-12-28,5.15
"539","amount",2008-01-04,2.2
"540","amount",2008-01-11,5.8
"541","amount",2008-01-18,0
"542","amount",2008-01-25,4.2
"543","amount",2008-02-01,2.9
"544","amount",2008-02-08,9.1
"545","amount",2008-02-15,8.6
"546","amount",2008-02-22,0
"547","amount",2008-02-29,0
"548","amount",2008-03-07,35.2
"549","amount",2008-03-14,4.1
"550","amount",2008-03-21,0.1
"551","amount",2008-03-28,0.1
"552","amount",2008-04-04,0.6
"553","amount",2008-04-11,20.2
"554","amount",2008-04-18,52.5
"555","amount",2008-04-25,0.7
"556","amount",2008-05-02,26.9
"557","amount",2008-05-09,39.35
"558","amount",2008-05-16,9.5
"559","amount",2008-05-23,26.9
"560","amount",2008-05-30,30.9
"561","amount",2008-06-06,7.1
"562","amount",2008-06-13,2.7
"563","amount",2008-06-20,25.35
"564","amount",2008-06-27,4.5
"565","amount",2008-07-04,16
"566","amount",2008-07-11,0.1
"567","amount",2008-07-18,5.3
"568","amount",2008-07-25,10.7
"569","amount",2008-08-01,119.45
"570","amount",2008-08-08,5.2
"571","amount",2008-08-15,5.5
"572","amount",2008-08-22,4.5
"573","amount",2008-08-29,18.1
"574","amount",2008-09-05,4.4
"575","amount",2008-09-12,13.4
"576","amount",2008-09-19,11.4
"577","amount",2008-09-26,0
"578","amount",2008-10-03,0.6
"579","amount",2008-10-10,6.75
"580","amount",2008-10-17,20.4
"581","amount",2008-10-24,8
"582","amount",2008-10-31,2.1
"583","amount",2008-11-07,4.9
"584","amount",2008-11-14,0.1
"585","amount",2008-11-21,3
"586","amount",2008-11-28,10
"587","amount",2008-12-05,0.5
"588","amount",2008-12-12,15.6
"589","amount",2008-12-19,0
"590","amount",2008-12-26,19
"591","amount",2009-01-02,4.4
"592","amount",2009-01-09,1
"593","amount",2009-01-16,1.8
"594","amount",2009-01-23,0.9
"595","amount",2009-01-30,0
"596","amount",2009-02-06,0.8
"597","amount",2009-02-13,7.9
"598","amount",2009-02-20,18.1
"599","amount",2009-02-27,24.1
"600","amount",2009-03-06,44.6
"601","amount",2009-03-13,6.2
"602","amount",2009-03-20,7
"603","amount",2009-03-27,4.3
"604","amount",2009-04-03,1.65
"605","amount",2009-04-10,1.2
"606","amount",2009-04-17,0.3
"607","amount",2009-04-24,17.3
"608","amount",2009-05-01,7.3
"609","amount",2009-05-08,5.2
"610","amount",2009-05-15,8.1
"611","amount",2009-05-22,0.1
"612","amount",2009-05-29,45.25
"613","amount",2009-06-05,5.4
"614","amount",2009-06-12,26.75
"615","amount",2009-06-19,4.45
"616","amount",2009-06-26,1.4
"617","amount",2009-07-03,122.2
"618","amount",2009-07-10,20.1
"619","amount",2009-07-17,42.4
"620","amount",2009-07-24,5
"621","amount",2009-07-31,1
"622","amount",2009-08-07,0.1
"623","amount",2009-08-14,1.7
"624","amount",2009-08-21,45.1
"625","amount",2009-08-28,0.1
"626","amount",2009-09-04,8.2
"627","amount",2009-09-11,0.1
"628","amount",2009-09-18,6.7
"629","amount",2009-09-25,43.4
"630","amount",2009-10-02,24.2
"631","amount",2009-10-09,84
"632","amount",2009-10-16,1.9
"633","amount",2009-10-23,14.3
"634","amount",2009-10-30,21.3
"635","amount",2009-11-06,0.1
"636","amount",2009-11-13,1.3
"637","amount",2009-11-20,9.5
"638","amount",2009-11-27,0.1
"639","amount",2009-12-04,77.7
"640","amount",2009-12-11,0.1
"641","amount",2009-12-18,4.5
"642","amount",2009-12-25,0.5
"643","amount",2010-01-01,1
"644","amount",2010-01-08,0
"645","amount",2010-01-15,30.4
"646","amount",2010-01-22,38
"647","amount",2010-01-29,11
"648","amount",2010-02-05,70.6
"649","amount",2010-02-12,10.9
"650","amount",2010-02-19,1.4
"651","amount",2010-02-26,0.9
"652","amount",2010-03-05,0.2
"653","amount",2010-03-12,9.1
"654","amount",2010-03-19,0.4
"655","amount",2010-03-26,1.9
"656","amount",2010-04-02,1.7
"657","amount",2010-04-09,21
"658","amount",2010-04-16,0.6
"659","amount",2010-04-23,0.4
"660","amount",2010-04-30,0.4
"661","amount",2010-05-07,7.1
"662","amount",2010-05-14,10
"663","amount",2010-05-21,24.3
"664","amount",2010-05-28,97.7
"665","amount",2010-06-04,104.2
"666","amount",2010-06-11,16.3
"667","amount",2010-06-18,0.7
"668","amount",2010-06-25,40.8
"669","amount",2010-07-02,25.5
"670","amount",2010-07-09,48.6
"671","amount",2010-07-16,10.9
"672","amount",2010-07-23,30.4
"673","amount",2010-07-30,2.2
"674","amount",2010-08-06,11.6
"675","amount",2010-08-13,6.2
"676","amount",2010-08-20,28.4
"677","amount",2010-08-27,6
"678","amount",2010-09-03,31.4
"679","amount",2010-09-10,29.1
"680","amount",2010-09-17,18
"681","amount",2010-09-24,4.2
"682","amount",2010-10-01,0.3
"683","amount",2010-10-08,0
"684","amount",2010-10-15,76
"685","amount",2010-10-22,1
"686","amount",2010-10-29,0.6
"687","amount",2010-11-05,8.2
"688","amount",2010-11-12,0.2
"689","amount",2010-11-19,0.6
"690","amount",2010-11-26,7.3
"691","amount",2010-12-03,4.9
"692","amount",2010-12-10,0.45
"693","amount",2010-12-17,24.6
"694","amount",2010-12-24,8.5
"695","amount",2010-12-31,1.4
"696","amount",2011-01-07,0
"697","amount",2011-01-14,0.7
"698","amount",2011-01-21,21.4
"699","amount",2011-01-28,106.6
"700","amount",2011-02-04,0
"701","amount",2011-02-11,0.6
"702","amount",2011-02-18,1.8
"703","amount",2011-02-25,5.5
"704","amount",2011-03-04,2.3
"705","amount",2011-03-11,30.9
"706","amount",2011-03-18,0.4
"707","amount",2011-03-25,60
"708","amount",2011-04-01,15.7
"709","amount",2011-04-08,18.1
"710","amount",2011-04-15,0.4
"711","amount",2011-04-22,9.35
"712","amount",2011-04-29,141.15
"713","amount",2011-05-06,29.1
"714","amount",2011-05-13,5.3
"715","amount",2011-05-20,1.2
"716","amount",2011-05-27,23.6
"717","amount",2011-06-03,1.1
"718","amount",2011-06-10,8.1
"719","amount",2011-06-17,2.5
"720","amount",2011-06-24,10.9
"721","amount",2011-07-01,27.25
"722","amount",2011-07-08,36.8
"723","amount",2011-07-15,3.1
"724","amount",2011-07-22,43.5
"725","amount",2011-07-29,6.1
"726","amount",2011-08-05,1.6
"727","amount",2011-08-12,6.65
"728","amount",2011-08-19,32.9
"729","amount",2011-08-26,0.1
"730","amount",2011-09-02,0
"731","amount",2011-09-09,0.1
"732","amount",2011-09-16,2.6
"733","amount",2011-09-23,14
"734","amount",2011-09-30,8.1
"735","amount",2011-10-07,9.6
"736","amount",2011-10-14,14.9
"737","amount",2011-10-21,17.7
"738","amount",2011-10-28,19.1
"739","amount",2011-11-04,2.3
"740","amount",2011-11-11,5.6
"741","amount",2011-11-18,19.35
"742","amount",2011-11-25,4.4
"743","amount",2011-12-02,0.75
"744","amount",2011-12-09,9.7
"745","amount",2011-12-16,35.1
"746","amount",2011-12-23,3.2
"747","amount",2011-12-30,26.2
"748","amount",2012-01-06,28.5
"749","amount",2012-01-13,58.75
"750","amount",2012-01-20,0
"751","amount",2012-01-27,10.7
"752","amount",2012-02-03,2.4
"753","amount",2012-02-10,19.95
"754","amount",2012-02-17,17.9
"755","amount",2012-02-24,3.5
"756","amount",2012-03-02,9.4
"757","amount",2012-03-09,11
"758","amount",2012-03-16,13.05
"759","amount",2012-03-23,77.8
"760","amount",2012-03-30,12.1
"761","amount",2012-04-06,46.35
"762","amount",2012-04-13,24.8
"763","amount",2012-04-20,0.5
"764","amount",2012-04-27,0.1
"765","amount",2012-05-04,3.2
"766","amount",2012-05-11,56.8
"767","amount",2012-05-18,2.85
"768","amount",2012-05-25,0.1
"769","amount",2012-06-01,0.5
"770","amount",2012-06-08,7
"771","amount",2012-06-15,2.6
"772","amount",2012-06-22,3.3
"773","amount",2012-06-29,0.6
"774","amount",2012-07-06,76.8
"775","amount",2012-07-13,0.2
"776","amount",2012-07-20,2.9
"777","amount",2012-07-27,73.3
"778","amount",2012-08-03,55.4
"779","amount",2012-08-10,32.6
"780","amount",2012-08-17,18.6
"781","amount",2012-08-24,9.5
"782","amount",2012-08-31,2.3
"783","amount",2012-09-07,1.8
"784","amount",2012-09-14,2.7
"785","amount",2012-09-21,4.3
"786","amount",2012-09-28,9.1
"787","amount",2012-10-05,2.5
"788","amount",2012-10-12,4
"789","amount",2012-10-19,3.1
"790","amount",2012-10-26,4
"791","amount",2012-11-02,0.1
"792","amount",2012-11-09,4.45
"793","amount",2012-11-16,10.5
"794","amount",2012-11-23,0.5
"795","amount",2012-11-30,3.2
"796","amount",2012-12-07,1.6
"797","amount",2012-12-14,1
"798","amount",2012-12-21,0.1
"799","amount",2012-12-28,14
"800","amount",2013-01-04,4.1
"801","amount",2013-01-11,7
"802","amount",2013-01-18,6.25
"803","amount",2013-01-25,0.7
"804","amount",2013-02-01,0
"805","amount",2013-02-08,9.4
"806","amount",2013-02-15,0
"807","amount",2013-02-22,0
"808","amount",2013-03-01,0
"809","amount",2013-03-08,1
"810","amount",2013-03-15,0
"811","amount",2013-03-22,22.8
"812","amount",2013-03-29,0.2
"813","amount",2013-04-05,18.2
"814","amount",2013-04-12,20.4
"815","amount",2013-04-19,20.7
"816","amount",2013-04-26,21
"817","amount",2013-05-03,0.6
"818","amount",2013-05-10,12.8
"819","amount",2013-05-17,6.7
"820","amount",2013-05-24,18.6
"821","amount",2013-05-31,15.8
"822","amount",2013-06-07,40.1
"823","amount",2013-06-14,41.1
"824","amount",2013-06-21,23.55
"825","amount",2013-06-28,9.5
"826","amount",2013-07-05,0.3
"827","amount",2013-07-12,106.5
"828","amount",2013-07-19,35.2
"829","amount",2013-07-26,2.6
"830","amount",2013-08-02,4.7
"831","amount",2013-08-09,27.2
"832","amount",2013-08-16,46.6
"833","amount",2013-08-23,25.8
"834","amount",2013-08-30,18.1
"835","amount",2013-09-06,26.2
"836","amount",2013-09-13,4.8
"837","amount",2013-09-20,1.4
"838","amount",2013-09-27,62.1
"839","amount",2013-10-04,8.2
